,0,1
0,Whitebeard,"Doesn't matter who you're born to… Everyone's still a child of the sea!!"
1,Roronoa Zoro,"When you decided to go to the sea, it was your own decision. Whatever happens to you on the sea, it depends on what you’ve done!"
2,Hatake Kakashi,"A place where someone still thinks about you is a place you can call home."
3,Trafalgar D. Water Law,"The weak don’t get to decide anything, not even how they die."
4,Monkey D. Luffy,"Emotion leads one to hate... and hate leads one to conflict and war."
5,Enel,"People don’t fear god, fear itself is god"
6,Bon Clay,"One may stray from the path of a man, one may stray from the path of a woman, but there is no straying from the path of a human!"
7,Brook,"Death is never an apology."
8,Franky,"The government says your existence is a crime, but no matter what kind of weapons you may hold, just being alive isn’t a sin! There’s no crime in living!"
9,Brook,"Loneliness' is no longer part of my vocabulary."
10,Kuzan,"This thing called Justice… changes its shape depending on where you stand."